modo_envio,segmento,pais,cidade,estado,cep,regiao,categoria,subcategoria,vendas,quantidade,desconto,lucro,margem
Second Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Material de Escritório,Fichários,11.232,8,0.7,-8.2368,-0.7333333333333334
Second Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Material de Escritório,Papel,10.272,3,0.2,3.21,0.3125
Standard Class,Home Office,United States,Houston,Texas,77095,Central,Material de Escritório,Papel,10.368,2,0.2,3.6288,0.35
Standard Class,Home Office,United States,Houston,Texas,77095,Central,Material de Escritório,Arte,6.24,3,0.2,0.546,0.08750000000000001
Standard Class,Home Office,United States,San Antonio,Texas,78207,Central,Móveis,Mesas,206.962,2,0.3,-32.5226,-0.15714285714285714
First Class,Consumer,United States,Oakland,California,94601,West,Móveis,Decoração,9.46,2,0.0,3.6894,0.38999999999999996
First Class,Corporate,United States,San Francisco,California,94122,West,Material de Escritório,Armazenamento,559.62,9,0.0,151.0974,0.26999999999999996
First Class,Corporate,United States,San Francisco,California,94122,West,Material de Escritório,Papel,109.92,2,0.0,53.8608,0.49
First Class,Corporate,United States,San Francisco,California,94122,West,Material de Escritório,Papel,8.56,2,0.0,3.852,0.44999999999999996
Second Class,Home Office,United States,Fort Worth,Texas,76106,Central,Material de Escritório,Papel,360.712,11,0.2,130.7581,0.36250000000000004
Second Class,Home Office,United States,Fort Worth,Texas,76106,Central,Tecnologia,Celulares,1718.4,6,0.2,150.36,0.08750000000000001
First Class,Home Office,United States,Houston,Texas,77095,Central,Material de Escritório,Fichários,41.568,6,0.8,-66.5088,-1.5999999999999999
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Tecnologia,Acessórios,46.864,2,0.2,7.6154,0.1625
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Material de Escritório,Arte,19.536,3,0.2,4.884,0.25
Standard Class,Consumer,United States,San Diego,California,92105,West,Móveis,Estantes,411.332,4,0.15,-4.8392,-0.011764705882352941
Standard Class,Consumer,United States,San Diego,California,92105,West,Material de Escritório,Fichários,28.752,6,0.2,9.7038,0.33749999999999997
Standard Class,Consumer,United States,San Diego,California,92105,West,Móveis,Estantes,293.199,3,0.15,-20.6964,-0.07058823529411765
Standard Class,Home Office,United States,Suffolk,Virginia,23434,South,Material de Escritório,Suprimentos,35.06,2,0.0,10.518,0.3
Standard Class,Home Office,United States,Suffolk,Virginia,23434,South,Material de Escritório,Etiquetas,4.13,1,0.0,1.8998,0.46
Standard Class,Home Office,United States,Suffolk,Virginia,23434,South,Móveis,Decoração,109.8,9,0.0,46.116,0.42
Standard Class,Home Office,United States,Suffolk,Virginia,23434,South,Material de Escritório,Etiquetas,9.82,2,0.0,4.8118,0.49
Standard Class,Consumer,United States,Greensboro,North Carolina,27405,South,Material de Escritório,Fichários,7.644,4,0.7,-5.8604,-0.7666666666666667
Standard Class,Consumer,United States,Greensboro,North Carolina,27405,South,Material de Escritório,Fichários,51.465,5,0.7,-39.4565,-0.7666666666666666
Standard Class,Corporate,United States,Dallas,Texas,75081,Central,Material de Escritório,Suprimentos,6.976,4,0.2,-1.3952,-0.2
Standard Class,Corporate,United States,Dallas,Texas,75081,Central,Material de Escritório,Fichários,12.222,7,0.8,-20.1663,-1.6500000000000001
Second Class,Corporate,United States,Chicago,Illinois,60623,Central,Material de Escritório,Armazenamento,97.984,2,0.2,-24.496,-0.25
Second Class,Corporate,United States,Chicago,Illinois,60623,Central,Tecnologia,Acessórios,62.4,6,0.2,19.5,0.3125
Standard Class,Corporate,United States,Baltimore,Maryland,21215,East,Material de Escritório,Fichários,20.86,2,0.0,9.387,0.45
Standard Class,Corporate,United States,Baltimore,Maryland,21215,East,Material de Escritório,Armazenamento,497.61,9,0.0,129.3786,0.26
Standard Class,Corporate,United States,Baltimore,Maryland,21215,East,Material de Escritório,Arte,5.34,2,0.0,1.4952,0.28
Standard Class,Corporate,United States,Baltimore,Maryland,21215,East,Material de Escritório,Etiquetas,3.15,1,0.0,1.512,0.48000000000000004
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Material de Escritório,Papel,368.91,9,0.0,180.7659,0.48999999999999994
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Material de Escritório,Arte,14.7,5,0.0,6.615,0.45
Standard Class,Consumer,United States,New York City,New York,10011,East,Tecnologia,Acessórios,59.97,3,0.0,14.9925,0.25
Standard Class,Consumer,United States,New York City,New York,10011,East,Material de Escritório,Armazenamento,83.36,1,0.0,20.84,0.25
Standard Class,Corporate,United States,Franklin,Massachusetts,2038,East,Material de Escritório,Papel,6.58,2,0.0,3.0268,0.46
Standard Class,Corporate,United States,Franklin,Massachusetts,2038,East,Material de Escritório,Fichários,122.94,3,0.0,59.0112,0.48000000000000004
Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Material de Escritório,Papel,219.84,4,0.0,107.7216,0.49
Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Tecnologia,Acessórios,98.16,6,0.0,9.816,0.1
Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Material de Escritório,Fichários,33.04,8,0.0,15.5288,0.47000000000000003
Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Tecnologia,Celulares,86.97,3,0.0,25.2213,0.29
Standard Class,Corporate,United States,Kenosha,Wisconsin,53142,Central,Tecnologia,Celulares,134.97,3,0.0,64.7856,0.48000000000000004
Standard Class,Corporate,United States,Kenosha,Wisconsin,53142,Central,Tecnologia,Celulares,699.98,2,0.0,195.9944,0.28
Standard Class,Corporate,United States,Kenosha,Wisconsin,53142,Central,Tecnologia,Acessórios,139.95,5,0.0,26.5905,0.19
Standard Class,Consumer,United States,New York City,New York,10011,East,Material de Escritório,Papel,48.94,1,0.0,24.47,0.5
First Class,Consumer,United States,Madison,Wisconsin,53711,Central,Móveis,Cadeiras,2807.84,8,0.0,673.8816,0.24
First Class,Consumer,United States,Madison,Wisconsin,53711,Central,Material de Escritório,Arte,46.64,4,0.0,12.5928,0.27
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Material de Escritório,Armazenamento,60.416,2,0.2,6.0416,0.1
Standard Class,Home Office,United States,Olathe,Kansas,66062,Central,Material de Escritório,Arte,107.94,3,0.0,26.985,0.25
First Class,Home Office,United States,New York City,New York,10024,East,Material de Escritório,Armazenamento,63.84,8,0.0,16.5984,0.26
First Class,Home Office,United States,New York City,New York,10024,East,Tecnologia,Celulares,347.97,3,0.0,100.9113,0.29
First Class,Home Office,United States,New York City,New York,10024,East,Material de Escritório,Fichários,37.008,6,0.2,11.565,0.31249999999999994
Standard Class,Consumer,United States,San Jose,California,95123,West,Móveis,Decoração,215.65,5,0.0,73.321,0.33999999999999997
Second Class,Consumer,United States,Dallas,Texas,75081,Central,Material de Escritório,Fixadores,11.168,4,0.2,3.6296,0.325
Second Class,Consumer,United States,Dallas,Texas,75081,Central,Material de Escritório,Papel,53.952,3,0.2,17.5344,0.32500000000000007
Standard Class,Home Office,United States,Auburn,Washington,98002,West,Móveis,Decoração,4.18,1,0.0,1.5048,0.36
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Material de Escritório,Fichários,5.607,1,0.7,-4.2987,-0.7666666666666667
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Material de Escritório,Suprimentos,4663.736,7,0.2,-1049.3406,-0.225
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Tecnologia,Acessórios,79.984,2,0.2,22.9954,0.28750000000000003
First Class,Corporate,United States,Los Angeles,California,90049,West,Tecnologia,Celulares,2575.944,7,0.2,257.5944,0.1
First Class,Corporate,United States,Los Angeles,California,90049,West,Material de Escritório,Papel,45.36,7,0.0,21.7728,0.48
First Class,Corporate,United States,Los Angeles,California,90049,West,Tecnologia,Acessórios,254.24,7,0.0,76.272,0.3
First Class,Corporate,United States,Tulsa,Oklahoma,74133,Central,Tecnologia,Celulares,69.93,7,0.0,0.6993,0.01
Standard Class,Corporate,United States,Chicago,Illinois,60610,Central,Móveis,Decoração,16.156,7,0.6,-12.117,-0.7500000000000001
Standard Class,Corporate,United States,Chicago,Illinois,60610,Central,Material de Escritório,Papel,54.816,3,0.2,17.8152,0.325
Second Class,Consumer,United States,Harrisonburg,Virginia,22801,South,Móveis,Mesas,1441.3,7,0.0,245.021,0.16999999999999998
Standard Class,Consumer,United States,Newark,Ohio,43055,East,Móveis,Decoração,77.6,5,0.2,28.13,0.3625
Standard Class,Consumer,United States,Newark,Ohio,43055,East,Móveis,Decoração,4.656,2,0.2,1.5714,0.3375
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Móveis,Mesas,170.136,3,0.2,-8.5068,-0.05
Same Day,Consumer,United States,Seattle,Washington,98105,West,Material de Escritório,Etiquetas,7.38,2,0.0,3.4686,0.47
Same Day,Consumer,United States,Seattle,Washington,98105,West,Material de Escritório,Arte,9.26,2,0.0,3.0558,0.33
Second Class,Consumer,United States,Los Angeles,California,90036,West,Material de Escritório,Etiquetas,9.96,2,0.0,4.5816,0.45999999999999996
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Material de Escritório,Eletrodomésticos,75.6,2,0.8,-166.32,-2.2
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Móveis,Decoração,29.32,2,0.6,-24.189,-0.825
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Material de Escritório,Eletrodomésticos,92.064,6,0.8,-225.5568,-2.45
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Material de Escritório,Fixadores,6.976,4,0.2,1.8312,0.2625
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Móveis,Cadeiras,62.958,3,0.3,-2.6982,-0.04285714285714286
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Material de Escritório,Papel,5.184,1,0.2,1.8144,0.35
Standard Class,Consumer,United States,Redmond,Oregon,97756,West,Material de Escritório,Fichários,31.32,10,0.7,-25.056,-0.8
Standard Class,Consumer,United States,Redmond,Oregon,97756,West,Móveis,Decoração,11.84,4,0.2,3.108,0.2625
Standard Class,Consumer,United States,Redmond,Oregon,97756,West,Móveis,Decoração,22.784,1,0.2,4.8416,0.2125
Second Class,Home Office,United States,Raleigh,North Carolina,27604,South,Tecnologia,Celulares,1127.976,3,0.2,126.8973,0.11249999999999999
Second Class,Corporate,United States,Macon,Georgia,31204,South,Material de Escritório,Papel,38.88,6,0.0,18.6624,0.48000000000000004
Standard Class,Consumer,United States,Cleveland,Ohio,44105,East,Tecnologia,Celulares,779.796,2,0.4,-168.9558,-0.21666666666666667
Same Day,Home Office,United States,Muskogee,Oklahoma,74403,Central,Tecnologia,Celulares,1439.92,8,0.0,374.3792,0.26
Same Day,Home Office,United States,Muskogee,Oklahoma,74403,Central,Móveis,Mesas,262.11,1,0.0,62.9064,0.24
Standard Class,Corporate,United States,Monroe,North Carolina,28110,South,Móveis,Cadeiras,207.0,3,0.2,25.875,0.125
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Tecnologia,Máquinas,1439.982,3,0.4,-263.9967,-0.18333333333333332
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Material de Escritório,Papel,36.288,7,0.2,12.7008,0.35000000000000003
First Class,Consumer,United States,Meriden,Connecticut,6450,East,Material de Escritório,Arte,21.4,5,0.0,6.206,0.29000000000000004
Second Class,Corporate,United States,Roswell,Georgia,30076,South,Material de Escritório,Eletrodomésticos,1245.86,7,0.0,361.2994,0.29000000000000004
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Material de Escritório,Etiquetas,17.544,3,0.2,5.9211,0.33749999999999997
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Móveis,Decoração,44.128,4,0.2,12.1352,0.27499999999999997
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Material de Escritório,Eletrodomésticos,62.92,1,0.2,10.2245,0.1625
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Material de Escritório,Papel,78.304,2,0.2,29.364,0.375
Standard Class,Corporate,United States,Bowling Green,Kentucky,42104,South,Móveis,Cadeiras,140.81,1,0.0,39.4268,0.27999999999999997
Second Class,Corporate,United States,San Antonio,Texas,78207,Central,Material de Escritório,Etiquetas,40.096,4,0.2,13.5324,0.3375000000000001
Second Class,Corporate,United States,San Antonio,Texas,78207,Central,Móveis,Decoração,40.784,2,0.6,-30.588,-0.75
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Tecnologia,Acessórios,90.57,3,0.0,11.7741,0.13
Second Class,Home Office,United States,Washington,District of Columbia,20016,East,Material de Escritório,Papel,40.08,6,0.0,19.2384,0.48
Second Class,Home Office,United States,Washington,District of Columbia,20016,East,Móveis,Decoração,37.68,2,0.0,15.8256,0.42
Same Day,Corporate,United States,Los Angeles,California,90004,West,Móveis,Cadeiras,362.352,3,0.2,27.1764,0.07500000000000001
Same Day,Corporate,United States,Los Angeles,California,90004,West,Material de Escritório,Fichários,7.184,2,0.2,2.245,0.3125
Second Class,Consumer,United States,South Bend,Indiana,46614,Central,Material de Escritório,Armazenamento,34.76,1,0.0,9.7328,0.27999999999999997
Second Class,Consumer,United States,South Bend,Indiana,46614,Central,Tecnologia,Acessórios,831.2,5,0.0,124.68,0.15
Second Class,Consumer,United States,South Bend,Indiana,46614,Central,Material de Escritório,Papel,26.4,5,0.0,11.88,0.45000000000000007
Second Class,Consumer,United States,South Bend,Indiana,46614,Central,Material de Escritório,Envelopes,106.75,7,0.0,49.105,0.45999999999999996
Second Class,Consumer,United States,South Bend,Indiana,46614,Central,Material de Escritório,Papel,97.82,2,0.0,45.9754,0.47000000000000003
Second Class,Consumer,United States,South Bend,Indiana,46614,Central,Material de Escritório,Armazenamento,141.4,5,0.0,38.178,0.26999999999999996
Standard Class,Corporate,United States,Los Angeles,California,90032,West,Material de Escritório,Arte,14.52,3,0.0,4.7916,0.33
Second Class,Corporate,United States,Houston,Texas,77041,Central,Material de Escritório,Armazenamento,127.92,5,0.2,-15.99,-0.125
Second Class,Corporate,United States,Houston,Texas,77041,Central,Material de Escritório,Fichários,34.24,4,0.8,-53.072,-1.55
First Class,Corporate,United States,Bristol,Connecticut,6010,East,Material de Escritório,Eletrodomésticos,137.62,2,0.0,60.5528,0.43999999999999995
First Class,Corporate,United States,Bristol,Connecticut,6010,East,Tecnologia,Celulares,100.49,1,0.0,25.1225,0.25
First Class,Consumer,United States,New York City,New York,10009,East,Móveis,Estantes,257.568,2,0.2,-28.9764,-0.11250000000000002
First Class,Consumer,United States,New York City,New York,10009,East,Tecnologia,Celulares,119.96,4,0.0,33.5888,0.28
Same Day,Consumer,United States,San Antonio,Texas,78207,Central,Material de Escritório,Armazenamento,49.632,4,0.2,4.9632,0.09999999999999999
Standard Class,Corporate,United States,Aurora,Colorado,80013,West,Móveis,Mesas,727.45,5,0.5,-465.568,-0.6399999999999999
Standard Class,Corporate,United States,Aurora,Colorado,80013,West,Móveis,Decoração,24.96,3,0.2,4.368,0.17500000000000002
Same Day,Corporate,United States,Newark,Ohio,43055,East,Tecnologia,Celulares,370.782,3,0.4,-92.6955,-0.25
First Class,Corporate,United States,Henderson,Nevada,89015,West,Móveis,Decoração,196.45,5,0.0,70.722,0.36
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Material de Escritório,Papel,31.104,6,0.2,10.8864,0.35000000000000003
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Material de Escritório,Armazenamento,78.256,2,0.2,-17.6076,-0.225
Second Class,Consumer,United States,Seattle,Washington,98103,West,Material de Escritório,Papel,6.48,1,0.0,3.1104,0.4799999999999999
Standard Class,Corporate,United States,San Francisco,California,94122,West,Material de Escritório,Arte,99.2,5,0.0,25.792,0.26
Standard Class,Corporate,United States,San Francisco,California,94122,West,Móveis,Cadeiras,801.568,2,0.2,50.098,0.0625
Standard Class,Corporate,United States,San Francisco,California,94122,West,Móveis,Mesas,272.848,1,0.2,27.2848,0.09999999999999999
Standard Class,Consumer,United States,Spokane,Washington,99207,West,Móveis,Mesas,70.98,1,0.0,20.5842,0.29
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Material de Escritório,Papel,16.224,2,0.2,5.8812,0.3625
Standard Class,Consumer,United States,Long Beach,New York,11561,East,Móveis,Estantes,176.784,1,0.2,-22.098,-0.125
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Tecnologia,Celulares,470.376,3,0.2,47.0376,0.1
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Móveis,Cadeiras,393.568,4,0.2,-44.2764,-0.11250000000000002
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Tecnologia,Celulares,302.376,3,0.2,22.6782,0.07500000000000001
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Material de Escritório,Fichários,68.742,9,0.7,-48.1194,-0.7
Same Day,Consumer,United States,New York City,New York,10011,East,Material de Escritório,Envelopes,29.34,3,0.0,14.67,0.5
Same Day,Consumer,United States,New York City,New York,10011,East,Móveis,Cadeiras,383.607,7,0.1,63.9345,0.16666666666666666
Same Day,Consumer,United States,New York City,New York,10011,East,Material de Escritório,Armazenamento,563.4,4,0.0,67.608,0.12000000000000001
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Material de Escritório,Papel,217.056,7,0.2,78.6828,0.3625
Second Class,Consumer,United States,Keller,Texas,76248,Central,Material de Escritório,Etiquetas,6.0,2,0.2,2.1,0.35000000000000003
Second Class,Consumer,United States,San Francisco,California,94122,West,Móveis,Decoração,31.56,3,0.0,10.4148,0.33
First Class,Home Office,United States,Hialeah,Florida,33012,South,Material de Escritório,Fixadores,7.104,2,0.2,2.3976,0.3375
First Class,Home Office,United States,Hialeah,Florida,33012,South,Material de Escritório,Fichários,398.352,8,0.7,-331.96,-0.8333333333333334
First Class,Consumer,United States,Fairfield,Ohio,45014,East,Material de Escritório,Eletrodomésticos,121.792,4,0.2,13.7016,0.11249999999999999
First Class,Consumer,United States,Fairfield,Ohio,45014,East,Móveis,Mesas,409.59,3,0.4,-122.877,-0.3
Standard Class,Corporate,United States,Huntington Beach,California,92646,West,Material de Escritório,Papel,10.56,2,0.0,4.752,0.44999999999999996
Standard Class,Corporate,United States,Huntington Beach,California,92646,West,Material de Escritório,Arte,3.38,1,0.0,1.2506,0.37
Second Class,Consumer,United States,Port Orange,Florida,32127,South,Material de Escritório,Envelopes,7.824,1,0.2,2.934,0.37500000000000006
Standard Class,Consumer,United States,Medford,Oregon,97504,West,Material de Escritório,Papel,24.784,1,0.2,7.745,0.3125
First Class,Consumer,United States,Charlottesville,Virginia,22901,South,Material de Escritório,Arte,34.65,3,0.0,10.395,0.3
Standard Class,Consumer,United States,Missoula,Montana,59801,West,Material de Escritório,Fichários,487.984,2,0.2,152.495,0.3125
First Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Material de Escritório,Fichários,1793.98,2,0.0,843.1706,0.47000000000000003
Second Class,Consumer,United States,Miami,Florida,33178,South,Material de Escritório,Envelopes,29.808,2,0.2,10.8054,0.36250000000000004
Second Class,Consumer,United States,Miami,Florida,33178,South,Material de Escritório,Fichários,505.176,4,0.7,-336.784,-0.6666666666666666
Second Class,Consumer,United States,Miami,Florida,33178,South,Móveis,Mesas,174.0585,3,0.45,-110.7645,-0.6363636363636364
Second Class,Consumer,United States,Florence,South Carolina,29501,South,Material de Escritório,Armazenamento,191.88,6,0.0,19.188,0.09999999999999999
First Class,Home Office,United States,Detroit,Michigan,48205,Central,Tecnologia,Celulares,14.78,2,0.0,3.9906,0.27
First Class,Corporate,United States,Springfield,Oregon,97477,West,Material de Escritório,Papel,5.184,1,0.2,1.8144,0.35
First Class,Corporate,United States,Springfield,Oregon,97477,West,Móveis,Cadeiras,478.48,2,0.2,47.848,0.09999999999999999
First Class,Corporate,United States,Springfield,Oregon,97477,West,Tecnologia,Acessórios,28.4,2,0.2,6.745,0.23750000000000002
First Class,Corporate,United States,Indianapolis,Indiana,46203,Central,Material de Escritório,Armazenamento,909.12,8,0.0,9.0912,0.01
Standard Class,Corporate,United States,Apopka,Florida,32712,South,Material de Escritório,Fichários,2.952,2,0.7,-2.1648,-0.7333333333333334
Standard Class,Corporate,United States,Apopka,Florida,32712,South,Material de Escritório,Fichários,27.018,6,0.7,-21.6144,-0.7999999999999999
First Class,Corporate,United States,Los Angeles,California,90008,West,Móveis,Decoração,136.92,4,0.0,41.076,0.30000000000000004
Standard Class,Consumer,United States,Oceanside,New York,11572,East,Móveis,Decoração,18.96,2,0.0,8.532,0.44999999999999996
Standard Class,Corporate,United States,Los Angeles,California,90008,West,Tecnologia,Acessórios,99.39,3,0.0,40.7499,0.41
Second Class,Corporate,United States,Houston,Texas,77041,Central,Material de Escritório,Papel,273.896,7,0.2,92.4399,0.33749999999999997
Second Class,Corporate,United States,Houston,Texas,77041,Central,Tecnologia,Máquinas,597.132,3,0.4,49.761,0.08333333333333334
First Class,Consumer,United States,Roswell,Georgia,30076,South,Tecnologia,Acessórios,149.95,5,0.0,65.978,0.44
Standard Class,Home Office,United States,Boynton Beach,Florida,33437,South,Material de Escritório,Etiquetas,4.608,2,0.2,1.6704,0.36250000000000004
Standard Class,Home Office,United States,Boynton Beach,Florida,33437,South,Material de Escritório,Arte,15.528,3,0.2,4.8525,0.3125
Standard Class,Home Office,United States,Boynton Beach,Florida,33437,South,Material de Escritório,Etiquetas,11.952,3,0.2,3.8844,0.325
Standard Class,Consumer,United States,Franklin,Massachusetts,2038,East,Material de Escritório,Arte,11.65,5,0.0,3.3785,0.29
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Tecnologia,Celulares,299.9,2,0.0,74.975,0.25
First Class,Corporate,United States,Watertown,New York,13601,East,Material de Escritório,Fichários,895.92,5,0.2,302.373,0.3375
First Class,Corporate,United States,Watertown,New York,13601,East,Móveis,Cadeiras,462.564,2,0.1,97.6524,0.2111111111111111
Standard Class,Corporate,United States,Reading,Pennsylvania,19601,East,Material de Escritório,Armazenamento,15.008,2,0.2,1.5008,0.1
Second Class,Corporate,United States,Arlington,Texas,76017,Central,Tecnologia,Celulares,863.64,9,0.2,107.955,0.125
Second Class,Corporate,United States,Arlington,Texas,76017,Central,Material de Escritório,Arte,47.616,3,0.2,3.5712,0.075
Second Class,Consumer,United States,San Diego,California,92024,West,Material de Escritório,Papel,92.94,3,0.0,41.823,0.45
Standard Class,Corporate,United States,San Francisco,California,94110,West,Tecnologia,Acessórios,199.98,2,0.0,69.993,0.35
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Tecnologia,Celulares,177.48,3,0.2,19.9665,0.1125
First Class,Consumer,United States,Denver,Colorado,80219,West,Material de Escritório,Papel,88.768,2,0.2,31.0688,0.35
Second Class,Home Office,United States,Seattle,Washington,98105,West,Material de Escritório,Papel,6.48,1,0.0,3.1104,0.4799999999999999
Second Class,Home Office,United States,Seattle,Washington,98105,West,Material de Escritório,Armazenamento,46.51,1,0.0,1.8604,0.04
Second Class,Home Office,United States,Seattle,Washington,98105,West,Tecnologia,Celulares,659.976,3,0.2,49.4982,0.075
Second Class,Consumer,United States,Scottsdale,Arizona,85254,West,Tecnologia,Celulares,271.992,1,0.2,23.7993,0.0875
Second Class,Consumer,United States,Lafayette,Louisiana,70506,South,Móveis,Estantes,145.74,3,0.0,23.3184,0.16
Second Class,Consumer,United States,Lafayette,Louisiana,70506,South,Móveis,Decoração,15.4,5,0.0,7.392,0.48000000000000004
Standard Class,Corporate,United States,San Francisco,California,94109,West,Material de Escritório,Papel,244.55,5,0.0,114.9385,0.47
Standard Class,Corporate,United States,San Francisco,California,94109,West,Tecnologia,Acessórios,166.16,8,0.0,59.8176,0.36
Second Class,Home Office,United States,San Francisco,California,94109,West,Móveis,Decoração,14.73,3,0.0,4.8609,0.33
Standard Class,Consumer,United States,Broomfield,Colorado,80020,West,Material de Escritório,Fichários,19.968,2,0.7,-13.312,-0.6666666666666666
Standard Class,Consumer,United States,Broomfield,Colorado,80020,West,Material de Escritório,Armazenamento,33.488,7,0.2,-1.2558,-0.0375
Standard Class,Consumer,United States,Broomfield,Colorado,80020,West,Material de Escritório,Fichários,8.736,4,0.7,-6.1152,-0.7
Standard Class,Consumer,United States,Broomfield,Colorado,80020,West,Móveis,Cadeiras,662.88,3,0.2,74.574,0.1125
First Class,Corporate,United States,Quincy,Illinois,62301,Central,Material de Escritório,Etiquetas,47.36,4,0.2,17.76,0.37500000000000006
First Class,Corporate,United States,Quincy,Illinois,62301,Central,Material de Escritório,Armazenamento,27.44,2,0.2,2.401,0.0875
First Class,Corporate,United States,Quincy,Illinois,62301,Central,Material de Escritório,Fichários,3.24,9,0.8,-5.184,-1.5999999999999999
Standard Class,Corporate,United States,Carrollton,Texas,75007,Central,Tecnologia,Acessórios,95.968,4,0.2,26.3912,0.275
Standard Class,Corporate,United States,Carrollton,Texas,75007,Central,Material de Escritório,Papel,10.368,2,0.2,3.6288,0.35
Standard Class,Corporate,United States,New York City,New York,10009,East,Material de Escritório,Arte,23.1,2,0.0,6.468,0.27999999999999997
Standard Class,Corporate,United States,New York City,New York,10009,East,Móveis,Decoração,11.54,2,0.0,3.462,0.30000000000000004
Standard Class,Corporate,United States,New York City,New York,10009,East,Móveis,Mesas,254.526,1,0.4,-93.3262,-0.36666666666666664
Standard Class,Corporate,United States,New York City,New York,10009,East,Material de Escritório,Eletrodomésticos,12.98,1,0.0,3.7642,0.29
Standard Class,Corporate,United States,New York City,New York,10009,East,Material de Escritório,Fichários,26.432,8,0.2,8.9208,0.3375
Standard Class,Corporate,United States,New York City,New York,10009,East,Tecnologia,Celulares,197.97,3,0.0,57.4113,0.29
Standard Class,Corporate,United States,New York City,New York,10009,East,Material de Escritório,Etiquetas,18.9,6,0.0,9.072,0.48
Standard Class,Corporate,United States,New York City,New York,10009,East,Móveis,Cadeiras,1282.41,5,0.1,213.735,0.16666666666666666
Standard Class,Corporate,United States,New York City,New York,10009,East,Material de Escritório,Arte,4.92,3,0.0,2.214,0.45
Standard Class,Corporate,United States,New York City,New York,10009,East,Tecnologia,Acessórios,238.0,2,0.0,38.08,0.16
Standard Class,Corporate,United States,New York City,New York,10009,East,Tecnologia,Acessórios,167.97,3,0.0,40.3128,0.24000000000000002
Standard Class,Corporate,United States,New York City,New York,10009,East,Material de Escritório,Papel,17.12,4,0.0,7.704,0.44999999999999996
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Material de Escritório,Fichários,16.2,3,0.0,7.776,0.48
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Material de Escritório,Eletrodomésticos,33.99,3,0.0,14.6157,0.43
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Tecnologia,Acessórios,296.85,5,0.0,53.433,0.18
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Tecnologia,Acessórios,112.8,6,0.0,6.768,0.06
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Material de Escritório,Fichários,13.71,3,0.0,6.5808,0.48
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Material de Escritório,Papel,24.9,5,0.0,11.703,0.47000000000000003
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Material de Escritório,Armazenamento,286.29,3,0.0,17.1774,0.05999999999999999
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Material de Escritório,Eletrodomésticos,24.18,2,0.0,7.254,0.3
Standard Class,Consumer,United States,Paterson,New Jersey,7501,East,Tecnologia,Celulares,281.97,3,0.0,78.9516,0.27999999999999997
Standard Class,Consumer,United States,Paterson,New Jersey,7501,East,Material de Escritório,Suprimentos,69.5,5,0.0,20.155,0.29000000000000004
Standard Class,Consumer,United States,Paterson,New Jersey,7501,East,Material de Escritório,Papel,166.44,3,0.0,79.8912,0.48
